"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
"1436","0","0","0","0",
"1437","0","0","0","0",
"1438","0","0","0","0",
"1439","1","21,550","0","0",
"1440","0","0","5","81,750",
"1441","0","0","0","0",
"1442","16","458,200","51","1,462,100",
"1443","0","0","0","0",
"1444","0","0","4","41,400",
"1445","0","0","0","0",
"1446","0","0","2","57,950",
"1447","0","0","5","38,790",
"1449","0","0","0","0",
"1451","0","0","3","64,800",
"1452","0","0","0","0",
"1453","2","27,300","2","27,000",
"1454","0","0","0","0",
"1455","5","48,660","0","0",
"1456","1","15,950","0","0",
"1457","0","0","26","473,350",
"1459","0","0","0","0",
"1460","0","0","0","0",
"1463","0","0","0","0",
"1464","0","0","1","13,850",
"1465","0","0","0","0",
"1466","0","0","0","0",
"1467","0","0","113","1,289,000",
"1468","0","0","0","0",
"1470","0","0","0","0",
"1471","0","0","0","0",
"1472","0","0","0","0",
"1473","0","0","0","0",
"1474","0","0","0","0",
"1475","0","0","0","0",
"1476","5","2,167,500","67","28,997,000",
"1477","0","0","14","2,834,000",
"1503","0","0","0","0",
"1504","0","0","53","1,515,350",
"1506","0","0","0","0",
"1512","0","0","0","0",
"1513","77","3,989,150","60","3,114,900",
"1514","0","0","0","0",
"1515","166","4,686,300","0","0",
"1516","0","0","0","0",
"1517","3","66,100","19","418,000",
"1519","6","227,550","14","527,800",
"1521","0","0","0","0",
"1522","17","433,350","0","0",
"1524","162","3,503,000","2","42,600",
"1525","0","0","0","0",
"1526","0","0","8","354,400",
"1527","0","0","0","0",
"1528","0","0","0","0",
"1529","3","49,650","1","16,300",
"1530","0","0","0","0",
"1531","0","0","0","0",
"1532","0","0","30","810,150",
"1533","3","144,000","0","0",
"1535","0","0","0","0",
"1536","18","1,365,200","3","226,800",
"1537","0","0","2","271,000",
"1538","0","0","0","0",
"1539","54","1,541,100","1","27,500",
"1540","0","0","0","0",
"1541","0","0","0","0",
"1558","0","0","14","1,505,000",
"1560","204","20,925,000","1","101,000",
"1568","4","93,000","0","0",
"1582","0","0","4","238,100",
"1583","0","0","0","0",
"1587","0","0","0","0",
"1589","1","50,300","7","351,050",
"1590","1","762,000","58","43,709,000",
"1597","0","0","0","0",
"1598","9","325,650","4","144,350",
"1603","0","0","0","0",
"1604","0","0","17","404,700",
"1605","484","17,779,700","278","9,914,350",
"1608","10","132,450","36","475,300",
"1609","42","699,650","22","365,800",
"1611","31","429,650","31","440,200",
"1612","30","436,500","0","0",
"1614","0","0","0","0",
"1615","0","0","0","0",
"1616","0","0","0","0",
"1617","0","0","0","0",
"1618","6","88,950","3","44,550",
