"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
"5284","37","1,787,800","27","1,298,650",
"5285","0","0","0","0",
"5288","0","0","2","336,000",
"5306","0","0","0","0",
"5388","2","152,500","3","227,900",
"5434","0","0","1","150,000",
"5469","49","1,526,400","18","564,550",
"5471","5","231,300","20","927,150",
"5484","0","0","0","0",
"5515","0","0","0","0",
"5519","0","0","0","0",
"5521","0","0","0","0",
"5522","1","53,400","91","4,834,300",
"5525","0","0","0","0",
"5531","0","0","8","72,810",
"5533","0","0","0","0",
"5534","0","0","4","284,000",
"5538","0","0","0","0",
"5546","0","0","0","0",
"5607","3","158,300","31","1,621,400",
"5608","4,144","92,359,800","80","1,789,000",
"5706","39","1,837,300","1","46,250",
"5871","49","7,546,000","113","17,356,000",
"5876","47","2,165,650","0","0",
"5880","6","151,400","467","11,809,400",
"5906","0","0","0","0",
"5907","0","0","1","13,250",
"6005","0","0","34","339,510",
"6024","0","0","2","69,800",
"6108","0","0","0","0",
"6112","0","0","0","0",
"6115","0","0","7","283,750",
"6116","110","1,285,250","11","128,700",
"6117","0","0","0","0",
"6120","0","0","97","846,060",
"6128","0","0","0","0",
"6133","1,067","23,953,750","105","2,232,350",
"6136","0","0","0","0",
"6139","0","0","0","0",
"6141","4","78,900","0","0",
"6142","0","0","0","0",
"6152","0","0","0","0",
"6153","278","6,866,200","776","19,084,350",
"6155","0","0","0","0",
"6164","4","37,180","0","0",
"6165","0","0","0","0",
"6166","0","0","6","300,600",
"6168","1","15,700","0","0",
"6176","2","195,800","159","15,574,700",
"6177","0","0","23","608,600",
"6183","0","0","0","0",
"6184","0","0","0","0",
"6189","0","0","15","533,250",
"6191","24","654,000","43","1,167,650",
"6192","0","0","3","201,700",
"6196","0","0","0","0",
"6197","0","0","0","0",
"6201","0","0","0","0",
"6202","17","1,114,800","37","2,417,600",
"6205","11","904,200","25","2,077,500",
"6206","2","128,200","0","0",
"6209","0","0","0","0",
"6213","16","891,300","0","0",
"6214","0","0","42","2,780,800",
"6215","0","0","0","0",
"6216","5","124,150","0","0",
"6224","0","0","9","478,900",
"6225","0","0","0","0",
"6226","0","0","0","0",
"6230","0","0","0","0",
"6235","201","6,342,650","6","189,200",
"6239","1","74,100","155","11,434,600",
"6243","7","180,300","4","103,000",
"6257","0","0","20","938,650",
"6269","176","17,049,000","85","8,241,100",
"6271","8","1,389,000","13","2,256,500",
"6277","0","0","1","75,800",
"6278","31","2,615,300","157","13,306,000",
"6281","0","0","0","0",
"6282","14","395,850","4","111,700",
"6283","12","368,450","0","0",
"6285","44","3,703,500","52","4,379,800",
"6288","0","0","6","123,500",
"6405","0","0","0","0",
"6409","0","0","0","0",
"6412","0","0","7","492,100",
"6414","5","938,000","1","189,000",
"6415","9","3,476,000","90","35,171,500",
"6416","0","0","0","0",
"6426","1","56,200","0","0",
"6431","0","0","0","0",
"6438","1","76,900","1","76,500",
"6442","0","0","1","39,550",
"6443","149","5,129,650","169","5,784,200",
"6449","0","0","0","0",
"6451","1","79,700","20","1,597,700",
"6456","2","155,000","59","4,566,800",
"6464","0","0","5","453,700",
"6477","16","678,950","6","254,800",
"6491","1","281,000","0","0",
"6504","1","70,800","0","0",
"6505","0","0","274","22,596,400",
"6515","2","618,500","3","925,500",
"6525","0","0","2","125,700",
"6531","68","10,275,500","344","51,821,500",
"6533","15","5,632,500","0","0",
"6541","0","0","0","0",
"6550","0","0","0","0",
"6552","0","0","0","0",
"6558","9","169,500","1","18,800",
"6573","0","0","0","0",
"6579","0","0","0","0",
"6581","0","0","1","87,900",
"6582","3","155,000","0","0",
"6585","0","0","0","0",
"6591","0","0","1","38,600",
"6592","0","0","7","665,200",
"6598","0","0","0","0",
"6605","2","136,100","3","204,900",
"6625","0","0","0","0",
"6641","0","0","0","0",
"6655","0","0","0","0",
"6666","3","230,200","3","231,300",
"6668","0","0","1","35,600",
"6669","0","0","10","7,427,000",
"6670","0","0","0","0",
"6671","0","0","0","0",
"6672","5","304,700","0","0",
"6674","0","0","0","0",
"6689","0","0","0","0",
"6691","0","0","0","0",
"6698","0","0","0","0",
"6706","19","1,529,300","3","241,100",
"6715","0","0","0","0",
"6719","0","0","46","10,908,500",
"6743","0","0","0","0",
"6754","0","0","0","0",
"6756","14","2,433,000","3","516,000",
"6768","0","0","0","0",
"6770","64","1,972,550","1,469","45,233,150",
"6776","0","0","0","0",
"6781","8","4,529,000","7","3,962,000",
"6789","0","0","5","900,000",
"6790","0","0","5","174,800",
"6792","1","68,400","0","0",
"6796","0","0","0","0",
"6799","0","0","0","0",
"6806","0","0","0","0",
"6807","0","0","0","0",
"6830","0","0","0","0",
"6834","0","0","0","0",
"6854","0","0","0","0",
"8011","0","0","0","0",
"8016","20","3,383,000","3","501,000",
"8021","2","56,150","54","1,528,750",
"8028","41","2,066,750","24","1,212,000",
"8033","0","0","0","0",
"8039","0","0","0","0",
"8046","44","9,264,000","44","9,259,000",
"8070","0","0","33","1,013,550",
"8072","0","0","0","0",
"8081","4","524,000","14","1,829,000",
"8101","0","0","0","0",
"8103","0","0","0","0",
"8104","0","0","0","0",
"8105","5","55,500","0","0",
"8110","3","32,950","0","0",
"8112","3","101,250","112","3,741,750",
"8114","0","0","0","0",
"8131","0","0","0","0",
"8150","2","64,300","301","9,556,450",
"8163","0","0","0","0",
"8201","0","0","0","0",
"8210","0","0","0","0",
"8213","0","0","0","0",
"8215","4","117,950","0","0",
"8222","22","414,750","0","0",
"8249","0","0","0","0",
"8261","86","8,228,000","7","668,800",
"8271","0","0","0","0",
"8341","0","0","15","2,009,500",
"8367","0","0","0","0",
"8374","0","0","0","0",
"8404","0","0","2","51,050",
"8411","10","127,000","35","446,000",
"8422","0","0","3","504,000",
"8429","0","0","0","0",
"8438","0","0","0","0",
"8442","0","0","0","0",
"8443","0","0","0","0",
"8454","7","3,492,500","76","37,604,000",
"8462","0","0","0","0",
"8463","0","0","0","0",
"8464","0","0","15","3,847,500",
"8466","0","0","0","0",
"8467","0","0","0","0",
"8473","0","0","0","0",
"8478","37","8,898,500","13","3,077,500",
"8480","0","0","0","0",
"8481","0","0","0","0",
"8482","0","0","0","0",
"8488","0","0","0","0",
"8499","0","0","0","0",
"8926","0","0","10","291,450",
"8940","0","0","0","0",
"8996","110","13,097,500","79","9,333,500",
"9103","67","510,860","0","0",
"910322","0","0","0","0",
"9105","69","260,860","0","0",
"910861","0","0","0","0",
"9110","0","0","0","0",
"911608","0","0","0","0",
"911622","0","0","0","0",
"911868","0","0","0","0",
"912000","0","0","0","0",
"9136","4","25,680","0","0",
"9802","14","1,936,500","1","138,500",
"9902","0","0","0","0",
"9904","3","83,650","1","28,050",
"9905","0","0","0","0",
"9906","0","0","0","0",
"9907","2","33,800","5","84,350",
"9908","0","0","0","0",
"9910","2","328,000","21","3,475,000",
"9911","0","0","1","58,300",
"9912","0","0","0","0",
"9914","3","533,000","3","528,000",
"9917","0","0","20","1,850,100",
"9918","0","0","0","0",
"9919","454","7,310,950","0","0",
"9921","0","0","99","20,659,000",
"9924","0","0","0","0",
"9925","0","0","1","38,700",
"9926","0","0","0","0",
"9927","1","35,450","0","0",
"9928","0","0","0","0",
"9929","0","0","0","0",
"9930","0","0","0","0",
"9931","0","0","0","0",
"9933","4","189,000","23","1,079,900",
"9934","0","0","0","0",
"9935","0","0","0","0",
"9937","0","0","0","0",
"9938","0","0","0","0",
"9939","0","0","0","0",
"9940","0","0","20","563,700",
"9941","0","0","95","13,097,000",
"9942","25","2,731,500","6","649,000",
"9943","0","0","0","0",
"9944","0","0","0","0",
"9945","61","2,441,650","733","29,169,100",
"9946","0","0","0","0",
"9955","3","51,700","0","0",
"9958","159","12,477,000","76","5,963,000",
"Total","35,501","1,710,895,780","85,408","3,988,697,700",
"Remarks:"
"Trading volume and trading value of margin short sales do not include those of margin netting."

