item_id,timestamp,target_value,backtestwindow_start_time,backtestwindow_end_time,p10,p50,p90
3536,2022-10-31T00:00:00Z,1.0,2022-10-31T00:00:00,2022-10-31T00:00:00,0.0,1.0,1.0
1418,2022-10-31T00:00:00Z,0.0,2022-10-31T00:00:00,2022-10-31T00:00:00,0.0,0.0,1.0
3383,2022-10-31T00:00:00Z,0.0,2022-10-31T00:00:00,2022-10-31T00:00:00,0.0,1.0,1.0
