item_id,date,p10,p50,p90
00641r,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
00641r,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
00641r,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
00641r,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
00641r,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
2851,2022-11-01T00:00:00Z,-5.22453E-5,-1.7945E-5,1.04536E-5
2851,2022-11-02T00:00:00Z,-5.01198E-5,-1.90931E-5,9.5974E-6
2851,2022-11-03T00:00:00Z,-5.09557E-5,-2.15577E-5,8.5199E-6
2851,2022-11-04T00:00:00Z,-5.75858E-5,-1.63069E-5,2.00431E-5
2851,2022-11-05T00:00:00Z,-5.42036E-5,-1.3269E-5,1.38521E-5
3008,2022-11-01T00:00:00Z,-5.11998E-5,-2.06068E-5,9.9478E-6
3008,2022-11-02T00:00:00Z,-4.62245E-5,-2.73399E-5,6.0456E-6
3008,2022-11-03T00:00:00Z,-5.14153E-5,-1.67304E-5,7.985E-6
3008,2022-11-04T00:00:00Z,-4.78673E-5,-1.91906E-5,2.43736E-5
3008,2022-11-05T00:00:00Z,-4.42431E-5,-1.5929E-5,2.04181E-5
4999,2022-11-01T00:00:00Z,-4.44206E-5,-2.25939E-5,4.4286E-6
4999,2022-11-02T00:00:00Z,-5.0246E-5,-2.23113E-5,1.32981E-5
4999,2022-11-03T00:00:00Z,-4.96797E-5,-1.97606E-5,6.3473E-6
4999,2022-11-04T00:00:00Z,-4.4595E-5,-1.71081E-5,1.1937E-5
4999,2022-11-05T00:00:00Z,-4.82914E-5,-1.94633E-5,1.48328E-5
6108,2022-11-01T00:00:00Z,-5.22453E-5,-1.7945E-5,1.04536E-5
6108,2022-11-02T00:00:00Z,-5.01198E-5,-1.90931E-5,9.5974E-6
6108,2022-11-03T00:00:00Z,-5.09557E-5,-2.15577E-5,8.5199E-6
6108,2022-11-04T00:00:00Z,-5.75858E-5,-1.63069E-5,2.00431E-5
6108,2022-11-05T00:00:00Z,-5.42036E-5,-1.3269E-5,1.38521E-5
