item_id,date,p10,p50,p90
006204,2022-11-01T00:00:00Z,-5.50846E-5,-2.82339E-5,7.3244E-6
006204,2022-11-02T00:00:00Z,-5.48673E-5,-2.27969E-5,1.19616E-5
006204,2022-11-03T00:00:00Z,-5.16174E-5,-2.34184E-5,1.03112E-5
006204,2022-11-04T00:00:00Z,-4.98653E-5,-1.74975E-5,1.41962E-5
006204,2022-11-05T00:00:00Z,-4.73014E-5,-1.55949E-5,1.29391E-5
006206,2022-11-01T00:00:00Z,-5.12899E-5,-2.10356E-5,1.51319E-5
006206,2022-11-02T00:00:00Z,-5.20257E-5,-2.03389E-5,8.2673E-6
006206,2022-11-03T00:00:00Z,-4.67182E-5,-2.03344E-5,1.20643E-5
006206,2022-11-04T00:00:00Z,-4.67007E-5,-1.66267E-5,2.51339E-5
006206,2022-11-05T00:00:00Z,-4.13052E-5,-1.66296E-5,1.03445E-5
00851,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
00851,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
00851,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
00851,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
00851,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
2440,2022-11-01T00:00:00Z,-4.44697E-5,-2.05783E-5,1.31014E-5
2440,2022-11-02T00:00:00Z,-6.04308E-5,-2.42006E-5,4.4482E-6
2440,2022-11-03T00:00:00Z,-4.75412E-5,-1.84299E-5,7.6973E-6
2440,2022-11-04T00:00:00Z,-4.87805E-5,-2.22406E-5,1.26851E-5
2440,2022-11-05T00:00:00Z,-4.54633E-5,-1.38088E-5,1.57627E-5
3686,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
3686,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
3686,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
3686,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
3686,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
6426,2022-11-01T00:00:00Z,-5.20336E-5,-2.23532E-5,8.2987E-6
6426,2022-11-02T00:00:00Z,-5.05572E-5,-1.73665E-5,9.1419E-6
6426,2022-11-03T00:00:00Z,-4.45879E-5,-1.62132E-5,1.42718E-5
6426,2022-11-04T00:00:00Z,-5.3436E-5,-1.71489E-5,1.34279E-5
6426,2022-11-05T00:00:00Z,-4.862E-5,-1.80601E-5,1.39312E-5
6579,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
6579,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
6579,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
6579,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
6579,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
9940,2022-11-01T00:00:00Z,-5.035E-5,-2.39874E-5,1.37831E-5
9940,2022-11-02T00:00:00Z,-5.29413E-5,-2.22245E-5,9.1826E-6
9940,2022-11-03T00:00:00Z,-4.44206E-5,-2.14037E-5,6.5564E-6
9940,2022-11-04T00:00:00Z,-4.99931E-5,-1.90654E-5,2.23042E-5
9940,2022-11-05T00:00:00Z,-4.46439E-5,-1.72939E-5,1.788E-5
