item_id,date,p10,p50,p90
1110,2022-11-01T00:00:00Z,-5.11998E-5,-2.06068E-5,9.9478E-6
1110,2022-11-02T00:00:00Z,-4.62245E-5,-2.73399E-5,6.0456E-6
1110,2022-11-03T00:00:00Z,-5.14153E-5,-1.67304E-5,7.985E-6
1110,2022-11-04T00:00:00Z,-4.78673E-5,-1.91906E-5,2.43736E-5
1110,2022-11-05T00:00:00Z,-4.42431E-5,-1.5929E-5,2.04181E-5
2809,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
2809,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
2809,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
2809,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
2809,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
3535,2022-11-01T00:00:00Z,-5.45912E-5,-2.27962E-5,1.57192E-5
3535,2022-11-02T00:00:00Z,-5.15711E-5,-2.03898E-5,1.46231E-5
3535,2022-11-03T00:00:00Z,-5.06144E-5,-2.18799E-5,1.23589E-5
3535,2022-11-04T00:00:00Z,-4.5455E-5,-2.06428E-5,1.9573E-6
3535,2022-11-05T00:00:00Z,-4.50096E-5,-1.57683E-5,1.55118E-5
5203,2022-11-01T00:00:00Z,-4.71649E-5,-1.35628E-5,2.14955E-5
5203,2022-11-02T00:00:00Z,-4.93238E-5,-1.98914E-5,1.51612E-5
5203,2022-11-03T00:00:00Z,-4.9198E-5,-2.13548E-5,1.12682E-5
5203,2022-11-04T00:00:00Z,-4.75708E-5,-1.63255E-5,1.68803E-5
5203,2022-11-05T00:00:00Z,-4.86658E-5,-1.37291E-5,1.97598E-5
8070,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
8070,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
8070,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
8070,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
8070,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
