item_id,date,p10,p50,p90
00911,2022-11-01T00:00:00Z,-5.43582E-5,-2.26203E-5,1.58322E-5
00911,2022-11-02T00:00:00Z,-5.13452E-5,-2.02846E-5,1.46169E-5
00911,2022-11-03T00:00:00Z,-5.06269E-5,-2.201E-5,1.21268E-5
00911,2022-11-04T00:00:00Z,-4.56432E-5,-2.09253E-5,1.5839E-6
00911,2022-11-05T00:00:00Z,-4.53452E-5,-1.62446E-5,1.49035E-5
1437,2022-11-01T00:00:00Z,-4.44697E-5,-2.05783E-5,1.31014E-5
1437,2022-11-02T00:00:00Z,-6.04308E-5,-2.42006E-5,4.4482E-6
1437,2022-11-03T00:00:00Z,-4.75412E-5,-1.84299E-5,7.6973E-6
1437,2022-11-04T00:00:00Z,-4.87805E-5,-2.22406E-5,1.26851E-5
1437,2022-11-05T00:00:00Z,-4.54633E-5,-1.38088E-5,1.57627E-5
2467,2022-11-01T00:00:00Z,-4.98333E-5,-2.22789E-5,7.7016E-6
2467,2022-11-02T00:00:00Z,-5.6101E-5,-1.97377E-5,9.2794E-6
2467,2022-11-03T00:00:00Z,-4.26028E-5,-2.15541E-5,8.7454E-6
2467,2022-11-04T00:00:00Z,-5.23874E-5,-1.9113E-5,1.42356E-5
2467,2022-11-05T00:00:00Z,-4.62931E-5,-1.08683E-5,1.80326E-5
2888b,2022-11-01T00:00:00Z,-4.36802E-5,-1.98844E-5,1.15538E-5
2888b,2022-11-02T00:00:00Z,-5.30799E-5,-2.44139E-5,1.9582E-6
2888b,2022-11-03T00:00:00Z,-4.35582E-5,-1.86814E-5,2.41809E-5
2888b,2022-11-04T00:00:00Z,-4.83001E-5,-1.99834E-5,1.3515E-5
2888b,2022-11-05T00:00:00Z,-5.23365E-5,-1.66886E-5,1.42081E-5
3022,2022-11-01T00:00:00Z,-5.11998E-5,-2.06068E-5,9.9478E-6
3022,2022-11-02T00:00:00Z,-4.62245E-5,-2.73399E-5,6.0456E-6
3022,2022-11-03T00:00:00Z,-5.14153E-5,-1.67304E-5,7.985E-6
3022,2022-11-04T00:00:00Z,-4.78673E-5,-1.91906E-5,2.43736E-5
3022,2022-11-05T00:00:00Z,-4.42431E-5,-1.5929E-5,2.04181E-5
3164,2022-11-01T00:00:00Z,-4.98333E-5,-2.22789E-5,7.7016E-6
3164,2022-11-02T00:00:00Z,-5.6101E-5,-1.97377E-5,9.2794E-6
3164,2022-11-03T00:00:00Z,-4.26028E-5,-2.15541E-5,8.7454E-6
3164,2022-11-04T00:00:00Z,-5.23874E-5,-1.9113E-5,1.42356E-5
3164,2022-11-05T00:00:00Z,-4.62931E-5,-1.08683E-5,1.80326E-5
4190,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
4190,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
4190,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
4190,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
4190,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
4915,2022-11-01T00:00:00Z,-4.36802E-5,-1.98844E-5,1.15538E-5
4915,2022-11-02T00:00:00Z,-5.30799E-5,-2.44139E-5,1.9582E-6
4915,2022-11-03T00:00:00Z,-4.35582E-5,-1.86814E-5,2.41809E-5
4915,2022-11-04T00:00:00Z,-4.83001E-5,-1.99834E-5,1.3515E-5
4915,2022-11-05T00:00:00Z,-5.23365E-5,-1.66886E-5,1.42081E-5
5244,2022-11-01T00:00:00Z,-4.95613E-5,-2.09011E-5,4.8774E-6
5244,2022-11-02T00:00:00Z,-5.15886E-5,-1.76638E-5,1.07968E-5
5244,2022-11-03T00:00:00Z,-5.07041E-5,-2.11509E-5,8.3901E-6
5244,2022-11-04T00:00:00Z,-4.85132E-5,-1.80707E-5,9.1694E-6
5244,2022-11-05T00:00:00Z,-4.26972E-5,-1.56188E-5,1.26726E-5
8222,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
8222,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
8222,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
8222,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
8222,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
