item_id,date,p10,p50,p90
00665l,2022-11-01T00:00:00Z,-5.035E-5,-2.39874E-5,1.37831E-5
00665l,2022-11-02T00:00:00Z,-5.29413E-5,-2.22245E-5,9.1826E-6
00665l,2022-11-03T00:00:00Z,-4.44206E-5,-2.14037E-5,6.5564E-6
00665l,2022-11-04T00:00:00Z,-4.99931E-5,-1.90654E-5,2.23042E-5
00665l,2022-11-05T00:00:00Z,-4.46439E-5,-1.72939E-5,1.788E-5
020020,2022-11-01T00:00:00Z,-5.12899E-5,-2.10356E-5,1.51319E-5
020020,2022-11-02T00:00:00Z,-5.20257E-5,-2.03389E-5,8.2673E-6
020020,2022-11-03T00:00:00Z,-4.67182E-5,-2.03344E-5,1.20643E-5
020020,2022-11-04T00:00:00Z,-4.67007E-5,-1.66267E-5,2.51339E-5
020020,2022-11-05T00:00:00Z,-4.13052E-5,-1.66296E-5,1.03445E-5
1504,2022-11-01T00:00:00Z,-5.45912E-5,-2.27962E-5,1.57192E-5
1504,2022-11-02T00:00:00Z,-5.15711E-5,-2.03898E-5,1.46231E-5
1504,2022-11-03T00:00:00Z,-5.06144E-5,-2.18799E-5,1.23589E-5
1504,2022-11-04T00:00:00Z,-4.5455E-5,-2.06428E-5,1.9573E-6
1504,2022-11-05T00:00:00Z,-4.50096E-5,-1.57683E-5,1.55118E-5
1603,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
1603,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
1603,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
1603,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
1603,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
1604,2022-11-01T00:00:00Z,-4.92707E-5,-1.83303E-5,1.08179E-5
1604,2022-11-02T00:00:00Z,-5.02379E-5,-1.54621E-5,1.11263E-5
1604,2022-11-03T00:00:00Z,-4.94594E-5,-2.18751E-5,1.79832E-5
1604,2022-11-04T00:00:00Z,-4.40495E-5,-2.07459E-5,1.32068E-5
1604,2022-11-05T00:00:00Z,-5.0046E-5,-1.94472E-5,9.8568E-6
2890,2022-11-01T00:00:00Z,-5.11998E-5,-2.06068E-5,9.9478E-6
2890,2022-11-02T00:00:00Z,-4.62245E-5,-2.73399E-5,6.0456E-6
2890,2022-11-03T00:00:00Z,-5.14153E-5,-1.67304E-5,7.985E-6
2890,2022-11-04T00:00:00Z,-4.78673E-5,-1.91906E-5,2.43736E-5
2890,2022-11-05T00:00:00Z,-4.42431E-5,-1.5929E-5,2.04181E-5
3530,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
3530,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
3530,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
3530,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
3530,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
