item_id,date,p10,p50,p90
020019,2022-11-01T00:00:00Z,-5.035E-5,-2.39874E-5,1.37831E-5
020019,2022-11-02T00:00:00Z,-5.29413E-5,-2.22245E-5,9.1826E-6
020019,2022-11-03T00:00:00Z,-4.44206E-5,-2.14037E-5,6.5564E-6
020019,2022-11-04T00:00:00Z,-4.99931E-5,-1.90654E-5,2.23042E-5
020019,2022-11-05T00:00:00Z,-4.46439E-5,-1.72939E-5,1.788E-5
1527,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
1527,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
1527,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
1527,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
1527,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
1762,2022-11-01T00:00:00Z,-5.22453E-5,-1.7945E-5,1.04536E-5
1762,2022-11-02T00:00:00Z,-5.01198E-5,-1.90931E-5,9.5974E-6
1762,2022-11-03T00:00:00Z,-5.09557E-5,-2.15577E-5,8.5199E-6
1762,2022-11-04T00:00:00Z,-5.75858E-5,-1.63069E-5,2.00431E-5
1762,2022-11-05T00:00:00Z,-5.42036E-5,-1.3269E-5,1.38521E-5
2468,2022-11-01T00:00:00Z,-4.92707E-5,-1.83303E-5,1.08179E-5
2468,2022-11-02T00:00:00Z,-5.02379E-5,-1.54621E-5,1.11263E-5
2468,2022-11-03T00:00:00Z,-4.94594E-5,-2.18751E-5,1.79832E-5
2468,2022-11-04T00:00:00Z,-4.40495E-5,-2.07459E-5,1.32068E-5
2468,2022-11-05T00:00:00Z,-5.0046E-5,-1.94472E-5,9.8568E-6
3056,2022-11-01T00:00:00Z,-5.22453E-5,-1.7945E-5,1.04536E-5
3056,2022-11-02T00:00:00Z,-5.01198E-5,-1.90931E-5,9.5974E-6
3056,2022-11-03T00:00:00Z,-5.09557E-5,-2.15577E-5,8.5199E-6
3056,2022-11-04T00:00:00Z,-5.75858E-5,-1.63069E-5,2.00431E-5
3056,2022-11-05T00:00:00Z,-5.42036E-5,-1.3269E-5,1.38521E-5
8072,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
8072,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
8072,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
8072,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
8072,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
9905,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
9905,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
9905,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
9905,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
9905,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
9941,2022-11-01T00:00:00Z,-5.50846E-5,-2.82339E-5,7.3244E-6
9941,2022-11-02T00:00:00Z,-5.48673E-5,-2.27969E-5,1.19616E-5
9941,2022-11-03T00:00:00Z,-5.16174E-5,-2.34184E-5,1.03112E-5
9941,2022-11-04T00:00:00Z,-4.98653E-5,-1.74975E-5,1.41962E-5
9941,2022-11-05T00:00:00Z,-4.73014E-5,-1.55949E-5,1.29391E-5
