item_id,date,p10,p50,p90
00895,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
00895,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
00895,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
00895,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
00895,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
1531,2022-11-01T00:00:00Z,-5.11998E-5,-2.06068E-5,9.9478E-6
1531,2022-11-02T00:00:00Z,-4.62245E-5,-2.73399E-5,6.0456E-6
1531,2022-11-03T00:00:00Z,-5.14153E-5,-1.67304E-5,7.985E-6
1531,2022-11-04T00:00:00Z,-4.78673E-5,-1.91906E-5,2.43736E-5
1531,2022-11-05T00:00:00Z,-4.42431E-5,-1.5929E-5,2.04181E-5
1760,2022-11-01T00:00:00Z,-5.45912E-5,-2.27962E-5,1.57192E-5
1760,2022-11-02T00:00:00Z,-5.15711E-5,-2.03898E-5,1.46231E-5
1760,2022-11-03T00:00:00Z,-5.06144E-5,-2.18799E-5,1.23589E-5
1760,2022-11-04T00:00:00Z,-4.5455E-5,-2.06428E-5,1.9573E-6
1760,2022-11-05T00:00:00Z,-4.50096E-5,-1.57683E-5,1.55118E-5
2383,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
2383,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
2383,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
2383,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
2383,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
6128,2022-11-01T00:00:00Z,-5.45912E-5,-2.27962E-5,1.57192E-5
6128,2022-11-02T00:00:00Z,-5.15711E-5,-2.03898E-5,1.46231E-5
6128,2022-11-03T00:00:00Z,-5.06144E-5,-2.18799E-5,1.23589E-5
6128,2022-11-04T00:00:00Z,-4.5455E-5,-2.06428E-5,1.9573E-6
6128,2022-11-05T00:00:00Z,-4.50096E-5,-1.57683E-5,1.55118E-5
