item_id,date,p10,p50,p90
00651r,2022-11-01T00:00:00Z,-5.12899E-5,-2.10356E-5,1.51319E-5
00651r,2022-11-02T00:00:00Z,-5.20257E-5,-2.03389E-5,8.2673E-6
00651r,2022-11-03T00:00:00Z,-4.67182E-5,-2.03344E-5,1.20643E-5
00651r,2022-11-04T00:00:00Z,-4.67007E-5,-1.66267E-5,2.51339E-5
00651r,2022-11-05T00:00:00Z,-4.13052E-5,-1.66296E-5,1.03445E-5
1203,2022-11-01T00:00:00Z,-4.72431E-5,-2.25657E-5,7.4055E-6
1203,2022-11-02T00:00:00Z,-6.44618E-5,-2.30977E-5,9.4033E-6
1203,2022-11-03T00:00:00Z,-4.92245E-5,-1.72333E-5,1.47456E-5
1203,2022-11-04T00:00:00Z,-4.31776E-5,-1.73506E-5,1.59145E-5
1203,2022-11-05T00:00:00Z,-4.67394E-5,-1.14544E-5,1.47541E-5
2049,2022-11-01T00:00:00Z,-4.45686E-5,-1.96893E-5,1.3823E-5
2049,2022-11-02T00:00:00Z,-4.8567E-5,-1.87511E-5,5.9832E-6
2049,2022-11-03T00:00:00Z,-5.03155E-5,-1.83339E-5,2.26286E-5
2049,2022-11-04T00:00:00Z,-4.15325E-5,-1.12079E-5,1.61228E-5
2049,2022-11-05T00:00:00Z,-4.88888E-5,-1.53874E-5,1.03159E-5
2485,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
2485,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
2485,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
2485,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
2485,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
4551,2022-11-01T00:00:00Z,-5.035E-5,-2.39874E-5,1.37831E-5
4551,2022-11-02T00:00:00Z,-5.29413E-5,-2.22245E-5,9.1826E-6
4551,2022-11-03T00:00:00Z,-4.44206E-5,-2.14037E-5,6.5564E-6
4551,2022-11-04T00:00:00Z,-4.99931E-5,-1.90654E-5,2.23042E-5
4551,2022-11-05T00:00:00Z,-4.46439E-5,-1.72939E-5,1.788E-5
4720,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
4720,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
4720,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
4720,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
4720,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
6166,2022-11-01T00:00:00Z,-5.16233E-5,-2.09588E-5,7.3887E-6
6166,2022-11-02T00:00:00Z,-5.81823E-5,-2.01935E-5,1.47011E-5
6166,2022-11-03T00:00:00Z,-4.37296E-5,-1.73999E-5,1.17507E-5
6166,2022-11-04T00:00:00Z,-4.26099E-5,-1.84322E-5,1.34292E-5
6166,2022-11-05T00:00:00Z,-4.81732E-5,-1.39761E-5,1.24137E-5
