item_id,date,p10,p50,p90
1470,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
1470,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
1470,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
1470,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
1470,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
3494,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
3494,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
3494,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
3494,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
3494,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
3550,2022-11-01T00:00:00Z,-5.20336E-5,-2.23532E-5,8.2987E-6
3550,2022-11-02T00:00:00Z,-5.05572E-5,-1.73665E-5,9.1419E-6
3550,2022-11-03T00:00:00Z,-4.45879E-5,-1.62132E-5,1.42718E-5
3550,2022-11-04T00:00:00Z,-5.3436E-5,-1.71489E-5,1.34279E-5
3550,2022-11-05T00:00:00Z,-4.862E-5,-1.80601E-5,1.39312E-5
