item_id,date,p10,p50,p90
1236,2022-11-01T00:00:00Z,-5.24242E-5,-2.03892E-5,6.1035E-6
1236,2022-11-02T00:00:00Z,-5.35292E-5,-2.38558E-5,7.7655E-6
1236,2022-11-03T00:00:00Z,-4.76651E-5,-1.95583E-5,1.22981E-5
1236,2022-11-04T00:00:00Z,-3.97949E-5,-1.96987E-5,1.19391E-5
1236,2022-11-05T00:00:00Z,-5.26857E-5,-1.71941E-5,1.40743E-5
2012,2022-11-01T00:00:00Z,-4.18879E-5,-1.71138E-5,1.66794E-5
2012,2022-11-02T00:00:00Z,-5.03808E-5,-1.69043E-5,1.44542E-5
2012,2022-11-03T00:00:00Z,-4.50778E-5,-1.89285E-5,1.75561E-5
2012,2022-11-04T00:00:00Z,-4.81338E-5,-1.60471E-5,1.89807E-5
2012,2022-11-05T00:00:00Z,-4.54231E-5,-1.11034E-5,1.60942E-5
2020,2022-11-01T00:00:00Z,-4.95765E-5,-2.09147E-5,4.865E-6
2020,2022-11-02T00:00:00Z,-5.15992E-5,-1.7669E-5,1.07943E-5
2020,2022-11-03T00:00:00Z,-5.07016E-5,-2.1141E-5,8.4072E-6
2020,2022-11-04T00:00:00Z,-4.84991E-5,-1.80522E-5,9.1917E-6
2020,2022-11-05T00:00:00Z,-4.26758E-5,-1.55905E-5,1.27062E-5
2115,2022-11-01T00:00:00Z,-5.55423E-5,-2.22464E-5,7.0451E-6
2115,2022-11-02T00:00:00Z,-5.14521E-5,-2.25417E-5,7.3823E-6
2115,2022-11-03T00:00:00Z,-4.56632E-5,-1.5722E-5,1.20107E-5
2115,2022-11-04T00:00:00Z,-4.52796E-5,-1.63342E-5,1.1734E-5
2115,2022-11-05T00:00:00Z,-4.79126E-5,-1.78964E-5,1.77529E-5
2363,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
2363,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
2363,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
2363,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
2363,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
2431,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
2431,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
2431,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
2431,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
2431,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
5546,2022-11-01T00:00:00Z,-5.50846E-5,-2.82339E-5,7.3244E-6
5546,2022-11-02T00:00:00Z,-5.48673E-5,-2.27969E-5,1.19616E-5
5546,2022-11-03T00:00:00Z,-5.16174E-5,-2.34184E-5,1.03112E-5
5546,2022-11-04T00:00:00Z,-4.98653E-5,-1.74975E-5,1.41962E-5
5546,2022-11-05T00:00:00Z,-4.73014E-5,-1.55949E-5,1.29391E-5
