item_id,date,p10,p50,p90
00668,2022-11-01T00:00:00Z,-5.22453E-5,-1.7945E-5,1.04536E-5
00668,2022-11-02T00:00:00Z,-5.01198E-5,-1.90931E-5,9.5974E-6
00668,2022-11-03T00:00:00Z,-5.09557E-5,-2.15577E-5,8.5199E-6
00668,2022-11-04T00:00:00Z,-5.75858E-5,-1.63069E-5,2.00431E-5
00668,2022-11-05T00:00:00Z,-5.42036E-5,-1.3269E-5,1.38521E-5
00738u,2022-11-01T00:00:00Z,-4.44697E-5,-2.05783E-5,1.31014E-5
00738u,2022-11-02T00:00:00Z,-6.04308E-5,-2.42006E-5,4.4482E-6
00738u,2022-11-03T00:00:00Z,-4.75412E-5,-1.84299E-5,7.6973E-6
00738u,2022-11-04T00:00:00Z,-4.87805E-5,-2.22406E-5,1.26851E-5
00738u,2022-11-05T00:00:00Z,-4.54633E-5,-1.38088E-5,1.57627E-5
00919,2022-11-01T00:00:00Z,-5.38674E-5,-2.75153E-5,7.3896E-6
00919,2022-11-02T00:00:00Z,-5.29972E-5,-2.16115E-5,1.24326E-5
00919,2022-11-03T00:00:00Z,-5.09413E-5,-2.34368E-5,9.6926E-6
00919,2022-11-04T00:00:00Z,-4.9921E-5,-1.83738E-5,1.24665E-5
00919,2022-11-05T00:00:00Z,-4.76892E-5,-1.69517E-5,1.07726E-5
020022,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
020022,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
020022,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
020022,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
020022,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
2059,2022-11-01T00:00:00Z,-4.92707E-5,-1.83303E-5,1.08179E-5
2059,2022-11-02T00:00:00Z,-5.02379E-5,-1.54621E-5,1.11263E-5
2059,2022-11-03T00:00:00Z,-4.94594E-5,-2.18751E-5,1.79832E-5
2059,2022-11-04T00:00:00Z,-4.40495E-5,-2.07459E-5,1.32068E-5
2059,2022-11-05T00:00:00Z,-5.0046E-5,-1.94472E-5,9.8568E-6
3443,2022-11-01T00:00:00Z,-5.21366E-5,-1.93398E-5,9.3106E-6
3443,2022-11-02T00:00:00Z,-5.19371E-5,-2.25494E-5,1.76464E-5
3443,2022-11-03T00:00:00Z,-4.9215E-5,-1.53967E-5,1.09959E-5
3443,2022-11-04T00:00:00Z,-4.89958E-5,-2.33772E-5,9.6811E-6
3443,2022-11-05T00:00:00Z,-4.51483E-5,-1.97466E-5,1.2351E-5
6781,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
6781,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
6781,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
6781,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
6781,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
