item_id,date,p10,p50,p90
00885,2022-11-01T00:00:00Z,-5.20336E-5,-2.23532E-5,8.2987E-6
00885,2022-11-02T00:00:00Z,-5.05572E-5,-1.73665E-5,9.1419E-6
00885,2022-11-03T00:00:00Z,-4.45879E-5,-1.62132E-5,1.42718E-5
00885,2022-11-04T00:00:00Z,-5.3436E-5,-1.71489E-5,1.34279E-5
00885,2022-11-05T00:00:00Z,-4.862E-5,-1.80601E-5,1.39312E-5
00906,2022-11-01T00:00:00Z,-5.14697E-5,-2.0833E-5,7.4876E-6
00906,2022-11-02T00:00:00Z,-5.80309E-5,-2.01011E-5,1.47316E-5
00906,2022-11-03T00:00:00Z,-4.37585E-5,-1.75215E-5,1.16217E-5
00906,2022-11-04T00:00:00Z,-4.27761E-5,-1.86022E-5,1.3142E-5
00906,2022-11-05T00:00:00Z,-4.83582E-5,-1.42795E-5,1.20545E-5
1104,2022-11-01T00:00:00Z,-5.11998E-5,-2.06068E-5,9.9478E-6
1104,2022-11-02T00:00:00Z,-4.62245E-5,-2.73399E-5,6.0456E-6
1104,2022-11-03T00:00:00Z,-5.14153E-5,-1.67304E-5,7.985E-6
1104,2022-11-04T00:00:00Z,-4.78673E-5,-1.91906E-5,2.43736E-5
1104,2022-11-05T00:00:00Z,-4.42431E-5,-1.5929E-5,2.04181E-5
1418,2022-11-01T00:00:00Z,-5.44322E-5,-2.1987E-5,9.9478E-6
1418,2022-11-02T00:00:00Z,-4.88917E-5,-2.93478E-5,9.1287E-6
1418,2022-11-03T00:00:00Z,-5.77405E-5,-1.94021E-5,9.6495E-6
1418,2022-11-04T00:00:00Z,-5.34999E-5,-1.99119E-5,1.08682E-5
1418,2022-11-05T00:00:00Z,-4.76292E-5,-1.93161E-5,1.39447E-5
2392,2022-11-01T00:00:00Z,-4.66205E-5,-2.14994E-5,1.15538E-5
2392,2022-11-02T00:00:00Z,-5.73009E-5,-2.41442E-5,4.6819E-6
2392,2022-11-03T00:00:00Z,-4.36121E-5,-1.78032E-5,1.85368E-5
2392,2022-11-04T00:00:00Z,-4.79468E-5,-1.83619E-5,1.95734E-5
2392,2022-11-05T00:00:00Z,-4.78615E-5,-1.99693E-5,1.07601E-5
4934,2022-11-01T00:00:00Z,-4.98333E-5,-2.22789E-5,7.7016E-6
4934,2022-11-02T00:00:00Z,-5.6101E-5,-1.97377E-5,9.2794E-6
4934,2022-11-03T00:00:00Z,-4.26028E-5,-2.15541E-5,8.7454E-6
4934,2022-11-04T00:00:00Z,-5.23874E-5,-1.9113E-5,1.42356E-5
4934,2022-11-05T00:00:00Z,-4.62931E-5,-1.08683E-5,1.80326E-5
6209,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
6209,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
6209,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
6209,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
6209,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
