item_id,date,p10,p50,p90
1514,2022-11-01T00:00:00Z,-5.20336E-5,-2.23532E-5,8.2987E-6
1514,2022-11-02T00:00:00Z,-5.05572E-5,-1.73665E-5,9.1419E-6
1514,2022-11-03T00:00:00Z,-4.45879E-5,-1.62132E-5,1.42718E-5
1514,2022-11-04T00:00:00Z,-5.3436E-5,-1.71489E-5,1.34279E-5
1514,2022-11-05T00:00:00Z,-4.862E-5,-1.80601E-5,1.39312E-5
1906,2022-11-01T00:00:00Z,-4.90699E-5,-2.03315E-5,4.0306E-6
1906,2022-11-02T00:00:00Z,-5.91487E-5,-2.03187E-5,5.4427E-6
1906,2022-11-03T00:00:00Z,-4.28931E-5,-2.05113E-5,7.8602E-6
1906,2022-11-04T00:00:00Z,-5.23828E-5,-1.98901E-5,5.6238E-6
1906,2022-11-05T00:00:00Z,-4.13526E-5,-1.24033E-5,1.71694E-5
2897a,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
2897a,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
2897a,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
2897a,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
2897a,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
3702,2022-11-01T00:00:00Z,-5.12899E-5,-2.10356E-5,1.51319E-5
3702,2022-11-02T00:00:00Z,-5.20257E-5,-2.03389E-5,8.2673E-6
3702,2022-11-03T00:00:00Z,-4.67182E-5,-2.03344E-5,1.20643E-5
3702,2022-11-04T00:00:00Z,-4.67007E-5,-1.66267E-5,2.51339E-5
3702,2022-11-05T00:00:00Z,-4.13052E-5,-1.66296E-5,1.03445E-5
4904,2022-11-01T00:00:00Z,-5.20336E-5,-2.23532E-5,8.2987E-6
4904,2022-11-02T00:00:00Z,-5.05572E-5,-1.73665E-5,9.1419E-6
4904,2022-11-03T00:00:00Z,-4.45879E-5,-1.62132E-5,1.42718E-5
4904,2022-11-04T00:00:00Z,-5.3436E-5,-1.71489E-5,1.34279E-5
4904,2022-11-05T00:00:00Z,-4.862E-5,-1.80601E-5,1.39312E-5
6120,2022-11-01T00:00:00Z,-4.73417E-5,-1.9074E-5,1.22748E-5
6120,2022-11-02T00:00:00Z,-5.21672E-5,-2.12421E-5,1.34938E-5
6120,2022-11-03T00:00:00Z,-5.02564E-5,-2.06985E-5,3.8694E-6
6120,2022-11-04T00:00:00Z,-4.92964E-5,-1.73134E-5,1.63182E-5
6120,2022-11-05T00:00:00Z,-4.56725E-5,-9.5439E-6,1.80596E-5
