item_id,date,p10,p50,p90
00636,2022-11-01T00:00:00Z,-4.36802E-5,-1.98844E-5,1.15538E-5
00636,2022-11-02T00:00:00Z,-5.30799E-5,-2.44139E-5,1.9582E-6
00636,2022-11-03T00:00:00Z,-4.35582E-5,-1.86814E-5,2.41809E-5
00636,2022-11-04T00:00:00Z,-4.83001E-5,-1.99834E-5,1.3515E-5
00636,2022-11-05T00:00:00Z,-5.23365E-5,-1.66886E-5,1.42081E-5
1305,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
1305,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
1305,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
1305,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
1305,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
1435,2022-11-01T00:00:00Z,-4.92707E-5,-1.83303E-5,1.08179E-5
1435,2022-11-02T00:00:00Z,-5.02379E-5,-1.54621E-5,1.11263E-5
1435,2022-11-03T00:00:00Z,-4.94594E-5,-2.18751E-5,1.79832E-5
1435,2022-11-04T00:00:00Z,-4.40495E-5,-2.07459E-5,1.32068E-5
1435,2022-11-05T00:00:00Z,-5.0046E-5,-1.94472E-5,9.8568E-6
2605,2022-11-01T00:00:00Z,-5.02134E-5,-1.91522E-5,1.49563E-5
2605,2022-11-02T00:00:00Z,-4.99762E-5,-2.34286E-5,9.5743E-6
2605,2022-11-03T00:00:00Z,-5.32489E-5,-1.86158E-5,9.0679E-6
2605,2022-11-04T00:00:00Z,-4.29174E-5,-1.35553E-5,1.67439E-5
2605,2022-11-05T00:00:00Z,-3.95112E-5,-1.93084E-5,1.4679E-5
3454,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
3454,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
3454,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
3454,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
3454,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
3661,2022-11-01T00:00:00Z,-4.36802E-5,-1.98844E-5,1.15538E-5
3661,2022-11-02T00:00:00Z,-5.30799E-5,-2.44139E-5,1.9582E-6
3661,2022-11-03T00:00:00Z,-4.35582E-5,-1.86814E-5,2.41809E-5
3661,2022-11-04T00:00:00Z,-4.83001E-5,-1.99834E-5,1.3515E-5
3661,2022-11-05T00:00:00Z,-5.23365E-5,-1.66886E-5,1.42081E-5
5306,2022-11-01T00:00:00Z,-5.11368E-5,-2.05509E-5,9.9989E-6
5306,2022-11-02T00:00:00Z,-4.61687E-5,-2.73046E-5,6.0612E-6
5306,2022-11-03T00:00:00Z,-5.14378E-5,-1.67678E-5,7.9337E-6
5306,2022-11-04T00:00:00Z,-4.79306E-5,-1.92775E-5,2.42528E-5
5306,2022-11-05T00:00:00Z,-4.43382E-5,-1.6054E-5,2.02642E-5
