item_id,date,p10,p50,p90
00882,2022-11-01T00:00:00Z,-5.20336E-5,-2.23532E-5,8.2987E-6
00882,2022-11-02T00:00:00Z,-5.05572E-5,-1.73665E-5,9.1419E-6
00882,2022-11-03T00:00:00Z,-4.45879E-5,-1.62132E-5,1.42718E-5
00882,2022-11-04T00:00:00Z,-5.3436E-5,-1.71489E-5,1.34279E-5
00882,2022-11-05T00:00:00Z,-4.862E-5,-1.80601E-5,1.39312E-5
1717,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
1717,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
1717,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
1717,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
1717,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
2312,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
2312,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
2312,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
2312,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
2312,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
2420,2022-11-01T00:00:00Z,-4.73417E-5,-1.9074E-5,1.22748E-5
2420,2022-11-02T00:00:00Z,-5.21672E-5,-2.12421E-5,1.34938E-5
2420,2022-11-03T00:00:00Z,-5.02564E-5,-2.06985E-5,3.8694E-6
2420,2022-11-04T00:00:00Z,-4.92964E-5,-1.73134E-5,1.63182E-5
2420,2022-11-05T00:00:00Z,-4.56725E-5,-9.5439E-6,1.80596E-5
2451,2022-11-01T00:00:00Z,-5.035E-5,-2.39874E-5,1.37831E-5
2451,2022-11-02T00:00:00Z,-5.29413E-5,-2.22245E-5,9.1826E-6
2451,2022-11-03T00:00:00Z,-4.44206E-5,-2.14037E-5,6.5564E-6
2451,2022-11-04T00:00:00Z,-4.99931E-5,-1.90654E-5,2.23042E-5
2451,2022-11-05T00:00:00Z,-4.46439E-5,-1.72939E-5,1.788E-5
2535,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
2535,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
2535,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
2535,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
2535,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
6205,2022-11-01T00:00:00Z,-5.37495E-5,-2.19784E-5,8.0506E-6
6205,2022-11-02T00:00:00Z,-5.15617E-5,-2.32587E-5,7.7655E-6
6205,2022-11-03T00:00:00Z,-5.49914E-5,-2.12243E-5,1.18736E-5
6205,2022-11-04T00:00:00Z,-4.04017E-5,-1.96962E-5,1.24401E-5
6205,2022-11-05T00:00:00Z,-5.54837E-5,-1.76397E-5,1.69824E-5
