item_id,date,p10,p50,p90
00685l,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
00685l,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
00685l,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
00685l,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
00685l,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
1444,2022-11-01T00:00:00Z,-4.73417E-5,-1.9074E-5,1.22748E-5
1444,2022-11-02T00:00:00Z,-5.21672E-5,-2.12421E-5,1.34938E-5
1444,2022-11-03T00:00:00Z,-5.02564E-5,-2.06985E-5,3.8694E-6
1444,2022-11-04T00:00:00Z,-4.92964E-5,-1.73134E-5,1.63182E-5
1444,2022-11-05T00:00:00Z,-4.56725E-5,-9.5439E-6,1.80596E-5
8367,2022-11-01T00:00:00Z,-4.73417E-5,-1.9074E-5,1.22748E-5
8367,2022-11-02T00:00:00Z,-5.21672E-5,-2.12421E-5,1.34938E-5
8367,2022-11-03T00:00:00Z,-5.02564E-5,-2.06985E-5,3.8694E-6
8367,2022-11-04T00:00:00Z,-4.92964E-5,-1.73134E-5,1.63182E-5
8367,2022-11-05T00:00:00Z,-4.56725E-5,-9.5439E-6,1.80596E-5
8454,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
8454,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
8454,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
8454,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
8454,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
