item_id,date,p10,p50,p90
00676r,2022-11-01T00:00:00Z,-5.50846E-5,-2.82339E-5,7.3244E-6
00676r,2022-11-02T00:00:00Z,-5.48673E-5,-2.27969E-5,1.19616E-5
00676r,2022-11-03T00:00:00Z,-5.16174E-5,-2.34184E-5,1.03112E-5
00676r,2022-11-04T00:00:00Z,-4.98653E-5,-1.74975E-5,1.41962E-5
00676r,2022-11-05T00:00:00Z,-4.73014E-5,-1.55949E-5,1.29391E-5
00752,2022-11-01T00:00:00Z,-4.92834E-5,-2.01175E-5,1.33543E-5
00752,2022-11-02T00:00:00Z,-5.16714E-5,-1.78929E-5,1.59394E-5
00752,2022-11-03T00:00:00Z,-4.94648E-5,-1.7201E-5,1.85045E-5
00752,2022-11-04T00:00:00Z,-5.20903E-5,-2.09996E-5,1.90277E-5
00752,2022-11-05T00:00:00Z,-4.57432E-5,-1.8647E-5,1.19745E-5
1709,2022-11-01T00:00:00Z,-5.61059E-5,-2.05066E-5,5.2043E-6
1709,2022-11-02T00:00:00Z,-5.15439E-5,-2.13046E-5,8.6093E-6
1709,2022-11-03T00:00:00Z,-4.88929E-5,-1.19415E-5,1.44523E-5
1709,2022-11-04T00:00:00Z,-4.86731E-5,-1.67776E-5,1.41828E-5
1709,2022-11-05T00:00:00Z,-4.16259E-5,-1.0641E-5,1.76165E-5
